"date","recession","SPY","IWM","TLT","LTPZ","GLD","UUP","HAP","JPM","BA","three_month_yield","six_month_yield","one_year_yield","two_year_yield","three_year_yield","five_year_yield","seven_year_yield","ten_year_yield","twenty_year_yield","thirty_year_yield"
1962-03-15,0,NA,NA,NA,NA,NA,NA,NA,NA,0.835390985012054,NA,NA,3.1,NA,3.52,3.73,NA,3.96,4.06,NA
1962-03-16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.833333015441895,NA,NA,3.06,NA,3.48,3.72,NA,3.96,4.05,NA
1962-03-19,0,NA,NA,NA,NA,NA,NA,NA,NA,0.818929970264435,NA,NA,3.03,NA,3.44,3.71,NA,3.93,4.04,NA
1962-03-20,0,NA,NA,NA,NA,NA,NA,NA,NA,0.816872000694275,NA,NA,3.02,NA,3.41,3.67,NA,3.91,4.02,NA
1962-03-21,0,NA,NA,NA,NA,NA,NA,NA,NA,0.816872000694275,NA,NA,3.01,NA,3.37,3.61,NA,3.86,4.01,NA
1962-03-22,0,NA,NA,NA,NA,NA,NA,NA,NA,0.829217970371246,NA,NA,2.94,NA,3.29,3.58,NA,3.83,3.97,NA
1962-03-23,0,NA,NA,NA,NA,NA,NA,NA,NA,0.829217970371246,NA,NA,2.94,NA,3.33,3.62,NA,3.87,3.99,NA
1962-03-26,0,NA,NA,NA,NA,NA,NA,NA,NA,0.827160000801086,NA,NA,2.95,NA,3.37,3.65,NA,3.89,4.01,NA
1962-03-27,0,NA,NA,NA,NA,NA,NA,NA,NA,0.833333015441895,NA,NA,2.95,NA,3.39,3.65,NA,3.9,4,NA
1962-03-28,0,NA,NA,NA,NA,NA,NA,NA,NA,0.835390985012054,NA,NA,2.96,NA,3.39,3.64,NA,3.9,4,NA
1962-03-29,0,NA,NA,NA,NA,NA,NA,NA,NA,0.839505970478058,NA,NA,2.96,NA,3.4,3.64,NA,3.9,3.99,NA
1962-03-30,0,NA,NA,NA,NA,NA,NA,NA,NA,0.825102984905243,NA,NA,2.97,NA,3.39,3.61,NA,3.86,3.98,NA
1962-04-02,0,NA,NA,NA,NA,NA,NA,NA,NA,0.827160000801086,NA,NA,2.95,NA,3.38,3.58,NA,3.86,3.97,NA
1962-04-03,0,NA,NA,NA,NA,NA,NA,NA,NA,0.810699999332428,NA,NA,2.93,NA,3.36,3.55,NA,3.83,3.95,NA
1962-04-04,0,NA,NA,NA,NA,NA,NA,NA,NA,0.790122985839844,NA,NA,2.88,NA,3.28,3.51,NA,3.78,3.91,NA
1962-04-05,0,NA,NA,NA,NA,NA,NA,NA,NA,0.798354029655457,NA,NA,2.89,NA,3.34,3.56,NA,3.84,3.94,NA
1962-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,0.792181015014648,NA,NA,2.89,NA,3.32,3.55,NA,3.81,3.92,NA
1962-04-09,0,NA,NA,NA,NA,NA,NA,NA,NA,0.777778029441833,NA,NA,2.9,NA,3.33,3.57,NA,3.83,3.92,NA
1962-04-10,0,NA,NA,NA,NA,NA,NA,NA,NA,0.773662984371185,NA,NA,2.94,NA,3.36,3.57,NA,3.83,3.92,NA
1962-04-11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.796296000480652,NA,NA,3,NA,3.41,3.61,NA,3.87,3.94,NA
1962-04-12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.771605014801025,NA,NA,3,NA,3.4,3.61,NA,3.86,3.93,NA
1962-04-13,0,NA,NA,NA,NA,NA,NA,NA,NA,0.783950984477997,NA,NA,3,NA,3.38,3.6,NA,3.85,3.92,NA
1962-04-16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.771605014801025,NA,NA,3,NA,3.37,3.6,NA,3.83,3.92,NA
1962-04-17,0,NA,NA,NA,NA,NA,NA,NA,NA,0.769546985626221,NA,NA,3,NA,3.36,3.6,NA,3.82,3.92,NA
1962-04-18,0,NA,NA,NA,NA,NA,NA,NA,NA,0.777778029441833,NA,NA,3,NA,3.35,3.6,NA,3.81,3.9,NA
1962-04-19,0,NA,NA,NA,NA,NA,NA,NA,NA,0.796296000480652,NA,NA,3,NA,3.37,3.6,NA,3.82,3.91,NA
1962-04-23,0,NA,NA,NA,NA,NA,NA,NA,NA,0.812757015228271,NA,NA,3.03,NA,3.4,3.63,NA,3.86,3.93,NA
1962-04-24,0,NA,NA,NA,NA,NA,NA,NA,NA,0.810699999332428,NA,NA,3.08,NA,3.42,3.65,NA,3.87,3.94,NA
1962-04-25,0,NA,NA,NA,NA,NA,NA,NA,NA,0.800411999225616,NA,NA,3.08,NA,3.43,3.66,NA,3.88,3.94,NA
1962-04-26,0,NA,NA,NA,NA,NA,NA,NA,NA,0.769546985626221,NA,NA,3.04,NA,3.43,3.66,NA,3.89,3.94,NA
1962-04-27,0,NA,NA,NA,NA,NA,NA,NA,NA,0.763373970985413,NA,NA,3.07,NA,3.45,3.64,NA,3.86,3.91,NA
1962-04-30,0,NA,NA,NA,NA,NA,NA,NA,NA,0.740741014480591,NA,NA,3.07,NA,3.47,3.64,NA,3.86,3.91,NA
1962-05-01,0,NA,NA,NA,NA,NA,NA,NA,NA,0.773662984371185,NA,NA,3.06,NA,3.45,3.63,NA,3.85,3.91,NA
1962-05-02,0,NA,NA,NA,NA,NA,NA,NA,NA,0.781893014907837,NA,NA,3.06,NA,3.44,3.64,NA,3.86,3.91,NA
1962-05-03,0,NA,NA,NA,NA,NA,NA,NA,NA,0.777778029441833,NA,NA,3.05,NA,3.42,3.64,NA,3.86,3.9,NA
1962-05-04,0,NA,NA,NA,NA,NA,NA,NA,NA,0.773662984371185,NA,NA,3.05,NA,3.42,3.64,NA,3.87,3.9,NA
1962-05-07,0,NA,NA,NA,NA,NA,NA,NA,NA,0.777778029441833,NA,NA,3.04,NA,3.41,3.64,NA,3.86,3.9,NA
1962-05-08,0,NA,NA,NA,NA,NA,NA,NA,NA,0.744855999946594,NA,NA,3.01,NA,3.39,3.62,NA,3.85,3.9,NA
1962-05-09,0,NA,NA,NA,NA,NA,NA,NA,NA,0.738682985305786,NA,NA,3.01,NA,3.37,3.6,NA,3.82,3.89,NA
1962-05-10,0,NA,NA,NA,NA,NA,NA,NA,NA,0.738682985305786,NA,NA,2.99,NA,3.37,3.61,NA,3.83,3.88,NA
1962-05-11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.728394985198975,NA,NA,3,NA,3.37,3.61,NA,3.82,3.88,NA
1962-05-14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.726337015628815,NA,NA,3,NA,3.39,3.63,NA,3.85,3.89,NA
1962-05-15,0,NA,NA,NA,NA,NA,NA,NA,NA,0.751029014587402,NA,NA,3.04,NA,3.41,3.67,NA,3.87,3.9,NA
1962-05-16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.74279797077179,NA,NA,3.04,NA,3.4,3.67,NA,3.86,3.91,NA
1962-05-17,0,NA,NA,NA,NA,NA,NA,NA,NA,0.740741014480591,NA,NA,3.06,NA,3.4,3.67,NA,3.87,3.91,NA
1962-05-18,0,NA,NA,NA,NA,NA,NA,NA,NA,0.740741014480591,NA,NA,3.05,NA,3.44,3.72,NA,3.93,3.94,NA
1962-05-21,0,NA,NA,NA,NA,NA,NA,NA,NA,0.728394985198975,NA,NA,3.05,NA,3.46,3.74,NA,3.94,3.96,NA
1962-05-22,0,NA,NA,NA,NA,NA,NA,NA,NA,0.711933970451355,NA,NA,3.05,NA,3.44,3.71,NA,3.93,3.95,NA
1962-05-23,0,NA,NA,NA,NA,NA,NA,NA,NA,0.691357970237732,NA,NA,3.04,NA,3.42,3.69,NA,3.91,3.95,NA
1962-05-24,0,NA,NA,NA,NA,NA,NA,NA,NA,0.664609014987946,NA,NA,3.02,NA,3.39,3.68,NA,3.9,3.94,NA
1962-05-25,0,NA,NA,NA,NA,NA,NA,NA,NA,0.656378984451294,NA,NA,3.01,NA,3.37,3.66,NA,3.88,3.93,NA
1962-05-28,0,NA,NA,NA,NA,NA,NA,NA,NA,0.592593014240265,NA,NA,2.98,NA,3.36,3.65,NA,3.87,3.92,NA
1962-05-29,0,NA,NA,NA,NA,NA,NA,NA,NA,0.672839999198914,NA,NA,2.97,NA,3.37,3.66,NA,3.89,3.94,NA
1962-05-31,0,NA,NA,NA,NA,NA,NA,NA,NA,0.711933970451355,NA,NA,2.99,NA,3.36,3.66,NA,3.9,3.94,NA
1962-06-01,0,NA,NA,NA,NA,NA,NA,NA,NA,0.716049015522003,NA,NA,2.98,NA,3.35,3.64,NA,3.89,3.93,NA
1962-06-04,0,NA,NA,NA,NA,NA,NA,NA,NA,0.662550985813141,NA,NA,2.98,NA,3.33,3.63,NA,3.88,3.93,NA
1962-06-05,0,NA,NA,NA,NA,NA,NA,NA,NA,0.69753098487854,NA,NA,2.97,NA,3.35,3.64,NA,3.89,3.94,NA
1962-06-06,0,NA,NA,NA,NA,NA,NA,NA,NA,0.711933970451355,NA,NA,2.95,NA,3.34,3.62,NA,3.89,3.93,NA
1962-06-07,0,NA,NA,NA,NA,NA,NA,NA,NA,0.69547301530838,NA,NA,2.95,NA,3.33,3.6,NA,3.87,3.93,NA
1962-06-08,0,NA,NA,NA,NA,NA,NA,NA,NA,0.69753098487854,NA,NA,2.94,NA,3.33,3.6,NA,3.86,3.92,NA
1962-06-11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.683127999305725,NA,NA,2.95,NA,3.31,3.59,NA,3.87,3.92,NA
1962-06-12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.666666984558105,NA,NA,2.94,NA,3.29,3.57,NA,3.86,3.91,NA
1962-06-13,0,NA,NA,NA,NA,NA,NA,NA,NA,0.650206029415131,NA,NA,2.94,NA,3.31,3.57,NA,3.87,3.92,NA
1962-06-14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.627572000026703,NA,NA,3,NA,3.34,3.6,NA,3.9,3.94,NA
1962-06-15,0,NA,NA,NA,NA,NA,NA,NA,NA,0.670782029628754,NA,NA,3,NA,3.34,3.6,NA,3.89,3.94,NA
1962-06-18,0,NA,NA,NA,NA,NA,NA,NA,NA,0.674897015094757,NA,NA,3.03,NA,3.36,3.61,NA,3.91,3.95,NA
1962-06-19,0,NA,NA,NA,NA,NA,NA,NA,NA,0.670782029628754,NA,NA,3.06,NA,3.41,3.64,NA,3.93,3.97,NA
1962-06-20,0,NA,NA,NA,NA,NA,NA,NA,NA,0.672839999198914,NA,NA,3.04,NA,3.4,3.63,NA,3.92,3.97,NA
1962-06-21,0,NA,NA,NA,NA,NA,NA,NA,NA,0.652262985706329,NA,NA,3.04,NA,3.38,3.61,NA,3.9,3.96,NA
1962-06-22,0,NA,NA,NA,NA,NA,NA,NA,NA,0.621398985385895,NA,NA,3.04,NA,3.38,3.61,NA,3.9,3.96,NA
1962-06-25,0,NA,NA,NA,NA,NA,NA,NA,NA,0.631686985492706,NA,NA,3.12,NA,3.47,3.68,NA,3.95,4,NA
1962-06-26,0,NA,NA,NA,NA,NA,NA,NA,NA,0.631686985492706,NA,NA,3.14,NA,3.5,3.71,NA,3.97,4.01,NA
1962-06-27,0,NA,NA,NA,NA,NA,NA,NA,NA,0.637860000133514,NA,NA,3.14,NA,3.49,3.68,NA,3.96,4,NA
1962-06-28,0,NA,NA,NA,NA,NA,NA,NA,NA,0.660494029521942,NA,NA,3.18,NA,3.53,3.76,NA,3.98,4.01,NA
1962-06-29,0,NA,NA,NA,NA,NA,NA,NA,NA,0.670782029628754,NA,NA,3.2,NA,3.56,3.76,NA,4,4.02,NA
1962-07-02,0,NA,NA,NA,NA,NA,NA,NA,NA,0.676954984664917,NA,NA,3.21,NA,3.57,3.77,NA,4,4.02,NA
1962-07-03,0,NA,NA,NA,NA,NA,NA,NA,NA,0.689300000667572,NA,NA,3.23,NA,3.58,3.76,NA,4,4.02,NA
1962-07-05,0,NA,NA,NA,NA,NA,NA,NA,NA,0.689300000667572,NA,NA,3.21,NA,3.59,3.78,NA,4,4.02,NA
1962-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,0.664609014987946,NA,NA,3.23,NA,3.6,3.79,NA,4.02,4.05,NA
1962-07-09,0,NA,NA,NA,NA,NA,NA,NA,NA,0.664609014987946,NA,NA,3.26,NA,3.67,3.83,NA,4.05,4.07,NA
1962-07-10,0,NA,NA,NA,NA,NA,NA,NA,NA,0.681070029735565,NA,NA,3.27,NA,3.65,3.81,NA,4.02,4.06,NA
1962-07-11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.685185015201569,NA,NA,3.26,NA,3.59,3.77,NA,3.99,4.06,NA
1962-07-12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.67901200056076,NA,NA,3.27,NA,3.6,3.78,NA,4,4.05,NA
1962-07-13,0,NA,NA,NA,NA,NA,NA,NA,NA,0.681070029735565,NA,NA,3.27,NA,3.61,3.78,NA,4,4.05,NA
1962-07-16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.664609014987946,NA,NA,3.28,NA,3.63,3.8,NA,4.01,4.06,NA
1962-07-17,0,NA,NA,NA,NA,NA,NA,NA,NA,0.648148000240326,NA,NA,3.34,NA,3.66,3.82,NA,4.03,4.06,NA
1962-07-18,0,NA,NA,NA,NA,NA,NA,NA,NA,0.644033014774323,NA,NA,3.36,NA,3.65,3.83,NA,4.02,4.06,NA
1962-07-19,0,NA,NA,NA,NA,NA,NA,NA,NA,0.646090984344482,NA,NA,3.33,NA,3.64,3.83,NA,4.02,4.06,NA
1962-07-20,0,NA,NA,NA,NA,NA,NA,NA,NA,0.660494029521942,NA,NA,3.32,NA,3.63,3.82,NA,4.01,4.05,NA
1962-07-23,0,NA,NA,NA,NA,NA,NA,NA,NA,0.654321014881134,NA,NA,3.32,NA,3.6,3.81,NA,4,4.05,NA
1962-07-24,0,NA,NA,NA,NA,NA,NA,NA,NA,0.648148000240326,NA,NA,3.32,NA,3.61,3.82,NA,4.01,4.05,NA
1962-07-25,0,NA,NA,NA,NA,NA,NA,NA,NA,0.648148000240326,NA,NA,3.32,NA,3.62,3.83,NA,4.02,4.05,NA
1962-07-26,0,NA,NA,NA,NA,NA,NA,NA,NA,0.648148000240326,NA,NA,3.32,NA,3.62,3.82,NA,4.01,4.04,NA
1962-07-27,0,NA,NA,NA,NA,NA,NA,NA,NA,0.652262985706329,NA,NA,3.32,NA,3.59,3.79,NA,4.02,4.05,NA
1962-07-30,0,NA,NA,NA,NA,NA,NA,NA,NA,0.666666984558105,NA,NA,3.33,NA,3.61,3.81,NA,4.03,4.06,NA
1962-07-31,0,NA,NA,NA,NA,NA,NA,NA,NA,0.674897015094757,NA,NA,3.33,NA,3.62,3.82,NA,4.04,4.06,NA
1962-08-01,0,NA,NA,NA,NA,NA,NA,NA,NA,0.674897015094757,NA,NA,3.3,NA,3.59,3.8,NA,4.03,4.06,NA
1962-08-02,0,NA,NA,NA,NA,NA,NA,NA,NA,0.674897015094757,NA,NA,3.26,NA,3.55,3.76,NA,4,4.03,NA
1962-08-03,0,NA,NA,NA,NA,NA,NA,NA,NA,0.674897015094757,NA,NA,3.27,NA,3.56,3.77,NA,4.01,4.04,NA
1962-08-06,0,NA,NA,NA,NA,NA,NA,NA,NA,0.639918029308319,NA,NA,3.26,NA,3.53,3.76,NA,4.01,4.04,NA
1962-08-07,0,NA,NA,NA,NA,NA,NA,NA,NA,0.631686985492706,NA,NA,3.28,NA,3.55,3.79,NA,4.02,4.04,NA
1962-08-08,0,NA,NA,NA,NA,NA,NA,NA,NA,0.648148000240326,NA,NA,3.28,NA,3.54,3.78,NA,4.01,4.04,NA
1962-08-09,0,NA,NA,NA,NA,NA,NA,NA,NA,0.639918029308319,NA,NA,3.28,NA,3.52,3.76,NA,3.99,4.03,NA
1962-08-10,0,NA,NA,NA,NA,NA,NA,NA,NA,0.63580197095871,NA,NA,3.28,NA,3.51,3.76,NA,3.99,4.03,NA
1962-08-13,0,NA,NA,NA,NA,NA,NA,NA,NA,0.639918029308319,NA,NA,3.26,NA,3.5,3.74,NA,3.99,4.03,NA
1962-08-14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.660494029521942,NA,NA,3.24,NA,3.48,3.73,NA,3.98,4.01,NA
1962-08-15,0,NA,NA,NA,NA,NA,NA,NA,NA,0.664609014987946,NA,NA,3.2,NA,3.47,3.72,NA,3.98,4.01,NA
1962-08-16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.691357970237732,NA,NA,3.19,NA,3.44,3.69,NA,3.96,3.99,NA
1962-08-17,0,NA,NA,NA,NA,NA,NA,NA,NA,0.716049015522003,NA,NA,3.18,NA,3.42,3.69,NA,3.96,3.99,NA
1962-08-20,0,NA,NA,NA,NA,NA,NA,NA,NA,0.693415999412537,NA,NA,3.17,NA,3.38,3.66,NA,3.94,3.98,NA
1962-08-21,0,NA,NA,NA,NA,NA,NA,NA,NA,0.707818984985352,NA,NA,3.17,NA,3.39,3.66,NA,3.94,3.97,NA
1962-08-22,0,NA,NA,NA,NA,NA,NA,NA,NA,0.707818984985352,NA,NA,3.14,NA,3.39,3.66,NA,3.95,3.97,NA
1962-08-23,0,NA,NA,NA,NA,NA,NA,NA,NA,0.69753098487854,NA,NA,3.13,NA,3.38,3.66,NA,3.95,3.97,NA
1962-08-24,0,NA,NA,NA,NA,NA,NA,NA,NA,0.691357970237732,NA,NA,3.12,NA,3.39,3.66,NA,3.95,3.97,NA
1962-08-27,0,NA,NA,NA,NA,NA,NA,NA,NA,0.681070029735565,NA,NA,3.11,NA,3.39,3.67,NA,3.95,3.98,NA
1962-08-28,0,NA,NA,NA,NA,NA,NA,NA,NA,0.666666984558105,NA,NA,3.1,NA,3.4,3.67,NA,3.96,3.98,NA
1962-08-29,0,NA,NA,NA,NA,NA,NA,NA,NA,0.668724000453949,NA,NA,3.1,NA,3.39,3.67,NA,3.96,3.98,NA
1962-08-30,0,NA,NA,NA,NA,NA,NA,NA,NA,0.654321014881134,NA,NA,3.12,NA,3.4,3.66,NA,3.95,3.99,NA
1962-08-31,0,NA,NA,NA,NA,NA,NA,NA,NA,0.666666984558105,NA,NA,3.14,NA,3.42,3.66,NA,3.96,3.99,NA
1962-09-04,0,NA,NA,NA,NA,NA,NA,NA,NA,0.652262985706329,NA,NA,3.15,NA,3.43,3.67,NA,3.96,3.99,NA
1962-09-05,0,NA,NA,NA,NA,NA,NA,NA,NA,0.654321014881134,NA,NA,3.16,NA,3.44,3.68,NA,3.97,4,NA
1962-09-06,0,NA,NA,NA,NA,NA,NA,NA,NA,0.656378984451294,NA,NA,3.09,NA,3.44,3.72,NA,3.99,4,NA
1962-09-07,0,NA,NA,NA,NA,NA,NA,NA,NA,0.654321014881134,NA,NA,3.1,NA,3.44,3.74,NA,4.01,4.01,NA
1962-09-10,0,NA,NA,NA,NA,NA,NA,NA,NA,0.656378984451294,NA,NA,3.08,NA,3.43,3.72,NA,4,4.01,NA
1962-09-11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.676954984664917,NA,NA,3.07,NA,3.42,3.72,NA,4,4.01,NA
1962-09-12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.672839999198914,NA,NA,3.05,NA,3.42,3.72,NA,4,4,NA
1962-09-13,0,NA,NA,NA,NA,NA,NA,NA,NA,0.672839999198914,NA,NA,3.06,NA,3.41,3.72,NA,3.99,4,NA
1962-09-14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.676954984664917,NA,NA,3.06,NA,3.42,3.72,NA,3.99,4,NA
1962-09-17,0,NA,NA,NA,NA,NA,NA,NA,NA,0.670782029628754,NA,NA,3.03,NA,3.41,3.71,NA,3.99,4,NA
1962-09-18,0,NA,NA,NA,NA,NA,NA,NA,NA,0.658436000347137,NA,NA,3.05,NA,3.41,3.71,NA,3.98,4,NA
1962-09-19,0,NA,NA,NA,NA,NA,NA,NA,NA,0.662550985813141,NA,NA,3.04,NA,3.41,3.71,NA,3.99,4,NA
